2024-03-19 13:09:33,014:INFO:Starting client
2024-03-19 13:09:33,030:INFO:Sending: 0:PING: to ('localhost', 9090)
2024-03-19 13:26:41,427:INFO:Starting client
2024-03-19 13:26:41,427:INFO:Sending: 0:PING: to ('localhost', 9090)
2024-03-19 13:26:46,442:INFO:Sending: 0:PING: to ('localhost', 9090)
2024-03-19 13:26:51,452:INFO:Sending: 0:PING: to ('localhost', 9090)
2024-03-19 13:26:56,454:INFO:Sending: 0:PING: to ('localhost', 9090)
2024-03-19 13:27:01,464:INFO:Sending: 0:PING: to ('localhost', 9090)
2024-03-19 13:28:09,419:INFO:Starting client
2024-03-19 13:28:09,419:INFO:Sending: 0:PING: to ('localhost', 9090)
2024-03-19 13:28:09,435:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:09,435:INFO:Sending: a7889337:JOB:343d9040a671c45832ee5381860e2996;3 to ('localhost', 9090)
2024-03-19 13:28:09,488:INFO:Received: a7889337:ACK_JOB: from ('127.0.0.1', 9090)
2024-03-19 13:28:09,488:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:09,491:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:14,503:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:14,503:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:19,511:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:19,511:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:24,517:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:24,517:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:29,526:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:29,526:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:34,539:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:34,539:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:39,551:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:39,551:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:44,556:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:44,556:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:49,557:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:49,557:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:54,561:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:54,561:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:28:59,574:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:28:59,574:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:04,575:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:04,575:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:09,578:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:09,578:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:14,615:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:14,615:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:19,643:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:19,643:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:24,647:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:24,647:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:29,659:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:29,659:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:34,660:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:34,666:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:39,709:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:39,709:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:44,713:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:44,713:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:49,721:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:49,721:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:54,736:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:54,736:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:29:59,747:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:29:59,747:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:04,747:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:04,747:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:09,791:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:09,793:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:14,801:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:14,803:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:19,806:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:19,806:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:24,817:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:24,818:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:29,819:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:29,819:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:34,821:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:34,822:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:39,826:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:39,826:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:44,834:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:44,834:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:49,836:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:49,836:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:54,837:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:54,839:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:30:59,849:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:30:59,853:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:04,855:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:04,855:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:09,862:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:09,862:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:14,864:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:14,864:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:19,877:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:19,877:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:24,878:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:24,878:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:29,890:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:29,890:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:34,977:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:34,977:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:39,979:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:39,979:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:44,981:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:44,981:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:49,991:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:49,991:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:31:55,002:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:31:55,002:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:32:00,013:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:00,013:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:32:05,030:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:05,030:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:32:10,061:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:10,061:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:32:15,077:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:15,077:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:32:20,079:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:20,081:INFO:Received: a7889337:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:32:25,086:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:30,093:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:35,105:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:40,112:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:45,124:INFO:Sending: a7889337:PING: to ('localhost', 9090)
2024-03-19 13:32:57,685:INFO:Starting client
2024-03-19 13:32:57,700:INFO:Sending: 0:PING: to ('localhost', 9090)
2024-03-19 13:32:57,700:INFO:Received: 21953bb3:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:32:57,700:INFO:Sending: 21953bb3:JOB:343d9040a671c45832ee5381860e2996;3 to ('localhost', 9090)
2024-03-19 13:32:57,716:INFO:Received: 21953bb3:ACK_JOB: from ('127.0.0.1', 9090)
2024-03-19 13:32:57,716:INFO:Sending: 21953bb3:PING: to ('localhost', 9090)
2024-03-19 13:32:57,716:INFO:Received: 21953bb3:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:33:02,724:INFO:Sending: 21953bb3:PING: to ('localhost', 9090)
2024-03-19 13:33:02,728:INFO:Received: 21953bb3:PONG: from ('127.0.0.1', 9090)
2024-03-19 13:33:07,733:INFO:Sending: 21953bb3:PING: to ('localhost', 9090)
2024-03-19 13:33:07,733:INFO:Received: 21953bb3:RESULT:Psw123 from ('127.0.0.1', 9090)
2024-03-19 13:33:07,739:INFO:Closing connection
