2024-03-17 22:55:30,170:INFO:Launching server...
2024-03-17 22:55:30,185:INFO:Server running at ('localhost', 9090)
2024-03-17 22:55:30,240:INFO:Received: 0:JOIN: from ('127.0.0.1', 61121)
2024-03-17 22:55:30,240:INFO:Node e2cc215a ('127.0.0.1', 61121) joined
2024-03-17 22:55:30,240:INFO:Sending: e2cc215a:ACK: to ('127.0.0.1', 61121)
2024-03-17 22:55:30,240:INFO:Received: 0:JOIN: from ('127.0.0.1', 61122)
2024-03-17 22:55:30,248:INFO:Node 02d51043 ('127.0.0.1', 61122) joined
2024-03-17 22:55:30,248:INFO:Sending: 02d51043:ACK: to ('127.0.0.1', 61122)
2024-03-17 22:55:30,249:INFO:Received: 0:JOIN: from ('127.0.0.1', 61123)
2024-03-17 22:55:30,249:INFO:Node 61068bdc ('127.0.0.1', 61123) joined
2024-03-17 22:55:30,249:INFO:Sending: 61068bdc:ACK: to ('127.0.0.1', 61123)
2024-03-17 22:55:30,250:INFO:Received: 0:JOIN: from ('127.0.0.1', 61124)
2024-03-17 22:55:30,250:INFO:Node 793f9c4b ('127.0.0.1', 61124) joined
2024-03-17 22:55:30,250:INFO:Sending: 793f9c4b:ACK: to ('127.0.0.1', 61124)
2024-03-17 22:55:30,277:INFO:Received: 0:JOIN: from ('127.0.0.1', 61125)
2024-03-17 22:55:30,277:INFO:Node 8fae01f0 ('127.0.0.1', 61125) joined
2024-03-17 22:55:30,277:INFO:Sending: 8fae01f0:ACK: to ('127.0.0.1', 61125)
2024-03-17 22:55:37,096:INFO:Received: 0:PING: from ('127.0.0.1', 61008)
2024-03-17 22:55:37,096:INFO:New client 1dac398a ('127.0.0.1', 61008) joined
2024-03-17 22:55:37,096:INFO:Sending: 1dac398a:PONG: to ('127.0.0.1', 61008)
2024-03-17 22:55:37,096:INFO:Received: 1dac398a:JOB:343d9040a671c45832ee5381860e2996;3 from ('127.0.0.1', 61008)
2024-03-17 22:55:37,096:INFO:New job added to queue: 1dac398a, 343d9040a671c45832ee5381860e2996;3
2024-03-17 22:55:37,096:INFO:Sending: e2cc215a:PING: to ('127.0.0.1', 61121)
2024-03-17 22:55:37,096:INFO:Received: e2cc215a:IDLE: from ('127.0.0.1', 61121)
2024-03-17 22:55:37,096:INFO:Sending: 02d51043:PING: to ('127.0.0.1', 61122)
2024-03-17 22:55:37,096:INFO:Received: 02d51043:IDLE: from ('127.0.0.1', 61122)
2024-03-17 22:55:37,096:INFO:Sending: 61068bdc:PING: to ('127.0.0.1', 61123)
2024-03-17 22:55:37,112:INFO:Received: 61068bdc:IDLE: from ('127.0.0.1', 61123)
2024-03-17 22:55:37,112:INFO:Sending: 793f9c4b:PING: to ('127.0.0.1', 61124)
2024-03-17 22:55:37,113:INFO:Received: 793f9c4b:IDLE: from ('127.0.0.1', 61124)
2024-03-17 22:55:37,114:INFO:Sending: 8fae01f0:PING: to ('127.0.0.1', 61125)
2024-03-17 22:55:37,114:INFO:Received: 8fae01f0:IDLE: from ('127.0.0.1', 61125)
2024-03-17 22:55:37,115:INFO:Sending: 1dac398a:ACK_JOB: to ('127.0.0.1', 61008)
2024-03-17 22:55:37,115:INFO:Sending job to: e2cc215a ('127.0.0.1', 61121) with iterations from 0 to 1805
2024-03-17 22:55:37,115:INFO:Sending: e2cc215a:JOB:1dac398a;343d9040a671c45832ee5381860e2996;0;1805;3 to ('127.0.0.1', 61121)
2024-03-17 22:55:37,116:INFO:Received: 1dac398a:PING: from ('127.0.0.1', 61008)
2024-03-17 22:55:37,116:INFO:Sending: 1dac398a:PONG: to ('127.0.0.1', 61008)
2024-03-17 22:55:37,116:INFO:Sending job to: 02d51043 ('127.0.0.1', 61122) with iterations from 1806 to 3610
2024-03-17 22:55:37,116:INFO:Sending: 02d51043:JOB:1dac398a;343d9040a671c45832ee5381860e2996;1806;3610;3 to ('127.0.0.1', 61122)
2024-03-17 22:55:37,117:INFO:Received: e2cc215a:ACK_JOB: from ('127.0.0.1', 61121)
2024-03-17 22:55:37,117:INFO:Job accepted by e2cc215a ('127.0.0.1', 61121)
2024-03-17 22:55:37,117:INFO:Sending job to: 61068bdc ('127.0.0.1', 61123) with iterations from 3611 to 5415
2024-03-17 22:55:37,117:INFO:Sending: 61068bdc:JOB:1dac398a;343d9040a671c45832ee5381860e2996;3611;5415;3 to ('127.0.0.1', 61123)
2024-03-17 22:55:37,117:INFO:Received: 02d51043:ACK_JOB: from ('127.0.0.1', 61122)
2024-03-17 22:55:37,118:INFO:Job accepted by 02d51043 ('127.0.0.1', 61122)
2024-03-17 22:55:37,118:INFO:Sending job to: 793f9c4b ('127.0.0.1', 61124) with iterations from 5416 to 7220
2024-03-17 22:55:37,118:INFO:Sending: 793f9c4b:JOB:1dac398a;343d9040a671c45832ee5381860e2996;5416;7220;3 to ('127.0.0.1', 61124)
2024-03-17 22:55:37,118:INFO:Received: 61068bdc:ACK_JOB: from ('127.0.0.1', 61123)
2024-03-17 22:55:37,119:INFO:Job accepted by 61068bdc ('127.0.0.1', 61123)
2024-03-17 22:55:37,119:INFO:Sending job to: 8fae01f0 ('127.0.0.1', 61125) with iterations from 7221 to 9025
2024-03-17 22:55:37,119:INFO:Sending: 8fae01f0:JOB:1dac398a;343d9040a671c45832ee5381860e2996;7221;9025;3 to ('127.0.0.1', 61125)
2024-03-17 22:55:37,120:INFO:Received: 793f9c4b:ACK_JOB: from ('127.0.0.1', 61124)
2024-03-17 22:55:37,120:INFO:Job accepted by 793f9c4b ('127.0.0.1', 61124)
2024-03-17 22:55:37,121:INFO:Received: 8fae01f0:ACK_JOB: from ('127.0.0.1', 61125)
2024-03-17 22:55:37,121:INFO:Job accepted by 8fae01f0 ('127.0.0.1', 61125)
2024-03-17 22:55:37,121:INFO:Received: 02d51043:RESULT:1dac398a;Psw123 from ('127.0.0.1', 61122)
2024-03-17 22:55:37,121:INFO:Job result: 1dac398a;Psw123 from 02d51043 ('127.0.0.1', 61122)
2024-03-17 22:55:37,121:INFO:Aborting all active workers
2024-03-17 22:55:37,121:INFO:Sending: e2cc215a:ABORT: to ('127.0.0.1', 61121)
2024-03-17 22:55:37,122:INFO:Sending: 61068bdc:ABORT: to ('127.0.0.1', 61123)
2024-03-17 22:55:37,122:INFO:Sending: 793f9c4b:ABORT: to ('127.0.0.1', 61124)
2024-03-17 22:55:37,123:INFO:Sending: 8fae01f0:ABORT: to ('127.0.0.1', 61125)
2024-03-17 22:55:39,131:INFO:Received: 8fae01f0:ABORT:1dac398a from ('127.0.0.1', 61125)
2024-03-17 22:55:39,131:INFO:Job 1dac398a aborted by 8fae01f0 ('127.0.0.1', 61125)
2024-03-17 22:55:39,131:INFO:Received: 793f9c4b:ABORT:1dac398a from ('127.0.0.1', 61124)
2024-03-17 22:55:39,131:INFO:Job 1dac398a aborted by 793f9c4b ('127.0.0.1', 61124)
2024-03-17 22:55:39,131:INFO:Received: 61068bdc:ABORT:1dac398a from ('127.0.0.1', 61123)
2024-03-17 22:55:39,131:INFO:Job 1dac398a aborted by 61068bdc ('127.0.0.1', 61123)
2024-03-17 22:55:40,121:INFO:Received: e2cc215a:ABORT:1dac398a from ('127.0.0.1', 61121)
2024-03-17 22:55:40,121:INFO:Job 1dac398a aborted by e2cc215a ('127.0.0.1', 61121)
2024-03-17 22:55:42,117:INFO:Received: 1dac398a:PING: from ('127.0.0.1', 61008)
2024-03-17 22:55:42,117:INFO:Job 1dac398a finished in 5.02 seconds
2024-03-17 22:55:42,117:INFO:Sending: 1dac398a:RESULT:Psw123 to ('127.0.0.1', 61008)
2024-03-17 22:55:45,188:INFO:Received: 0:PING: from ('127.0.0.1', 61009)
2024-03-17 22:55:45,188:INFO:New client d1dc7729 ('127.0.0.1', 61009) joined
2024-03-17 22:55:45,188:INFO:Sending: d1dc7729:PONG: to ('127.0.0.1', 61009)
2024-03-17 22:55:45,201:INFO:Received: d1dc7729:JOB:343d9040a671c45832ee5381860e2996;3 from ('127.0.0.1', 61009)
2024-03-17 22:55:45,202:INFO:New job added to queue: d1dc7729, 343d9040a671c45832ee5381860e2996;3
2024-03-17 22:55:45,202:INFO:Sending: e2cc215a:PING: to ('127.0.0.1', 61121)
2024-03-17 22:55:45,203:INFO:Received: e2cc215a:IDLE: from ('127.0.0.1', 61121)
2024-03-17 22:55:45,203:INFO:Sending: 02d51043:PING: to ('127.0.0.1', 61122)
2024-03-17 22:55:45,204:INFO:Received: 02d51043:IDLE: from ('127.0.0.1', 61122)
2024-03-17 22:55:45,204:INFO:Sending: 61068bdc:PING: to ('127.0.0.1', 61123)
2024-03-17 22:55:45,205:INFO:Received: 61068bdc:IDLE: from ('127.0.0.1', 61123)
2024-03-17 22:55:45,205:INFO:Sending: 793f9c4b:PING: to ('127.0.0.1', 61124)
2024-03-17 22:55:45,208:INFO:Received: 793f9c4b:IDLE: from ('127.0.0.1', 61124)
2024-03-17 22:55:45,208:INFO:Sending: 8fae01f0:PING: to ('127.0.0.1', 61125)
2024-03-17 22:55:45,208:INFO:Received: 8fae01f0:IDLE: from ('127.0.0.1', 61125)
2024-03-17 22:55:45,208:INFO:Sending: d1dc7729:ACK_JOB: to ('127.0.0.1', 61009)
2024-03-17 22:55:45,210:INFO:Sending job to: e2cc215a ('127.0.0.1', 61121) with iterations from 0 to 1805
2024-03-17 22:55:45,210:INFO:Sending: e2cc215a:JOB:d1dc7729;343d9040a671c45832ee5381860e2996;0;1805;3 to ('127.0.0.1', 61121)
2024-03-17 22:55:45,211:INFO:Received: e2cc215a:ACK_JOB: from ('127.0.0.1', 61121)
2024-03-17 22:55:45,211:INFO:Job accepted by e2cc215a ('127.0.0.1', 61121)
2024-03-17 22:55:45,211:INFO:Sending job to: 02d51043 ('127.0.0.1', 61122) with iterations from 1806 to 3610
2024-03-17 22:55:45,211:INFO:Sending: 02d51043:JOB:d1dc7729;343d9040a671c45832ee5381860e2996;1806;3610;3 to ('127.0.0.1', 61122)
2024-03-17 22:55:45,211:INFO:Received: d1dc7729:PING: from ('127.0.0.1', 61009)
